"","artist_name","artist_id","album_id","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_name","mode_name","key_mode"
"1","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.566,0.438,0,-7.564,0,0.0367,0.809,0,0.212,0.692,117.127,"5Py8zRKGkZvgHniVVtvNCN",4,136906,"All Around Me","Changes","C","minor","C minor"
"2","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.764,0.443,4,-6.625,1,0.0439,0.52,1.96e-05,0.0749,0.63,138.999,"40qyPyljksBEqlNw5sW37T",4,168200,"Habitual","Changes","E","major","E major"
"3","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.648,0.681,2,-8.389,0,0.0378,0.263,0.00783,0.0971,0.767,157.941,"2o9LAypwGH4ctV0i9boo6d",4,200773,"Come Around Me","Changes","D","minor","D minor"
"4","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,"4umIPjkehX1r7uhmGvXiSV",4,212866,"Intentions (feat. Quavo)","Changes","A","major","A major"
"5","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.676,0.506,9,-6.652,0,0.0958,0.345,0,0.118,0.497,145.842,"16wAOAZ2OkqoIDN7TpChjR",4,208520,"Yummy","Changes","A","minor","A minor"
"6","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.702,0.608,3,-6.843,1,0.0359,0.0736,0,0.129,0.597,75.012,"1b6tPXXCV2fSNtR3SKWUQA",4,195333,"Available","Changes","D#","major","D# major"
"7","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.825,0.483,8,-5.746,0,0.08,0.538,1.48e-05,0.204,0.892,139.98,"2ZlCGeK30BLRNSPC832pNZ",4,219933,"Forever (feat. Post Malone & Clever)","Changes","G#","minor","G# minor"
"8","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.774,0.603,11,-7.319,1,0.0591,0.438,4.37e-05,0.0869,0.977,149.982,"75nKBP8jQu681pTNCtrEnn",4,179626,"Running Over (feat. Lil Dicky)","Changes","B","major","B major"
"9","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.772,0.616,7,-4.673,1,0.102,0.00337,2.36e-06,0.104,0.279,129.967,"39nTNk5MfyiiRupTwn1iyC",4,178013,"Take It Out On Me","Changes","G","major","G major"
"10","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.796,0.777,11,-6.112,0,0.0567,0.0276,2.87e-05,0.095,0.96,141.97,"1PnAx788sAvcI3ZxTlEyX8",4,202720,"Second Emotion (feat. Travis Scott)","Changes","B","minor","B minor"
"11","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.832,0.508,6,-6.913,0,0.149,0.0492,5.39e-05,0.107,0.75,109.352,"5VwwpU7KsLhgfbMEecedhJ",5,185426,"Get Me (feat. Kehlani)","Changes","F#","minor","F# minor"
"12","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.465,0.494,4,-7.595,0,0.066,0.49,0,0.127,0.457,127.298,"6PzOPrXx8tJEqace76yrv2",4,176733,"E.T.A.","Changes","E","minor","E minor"
"13","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.485,0.412,9,-7.766,0,0.042,0.738,0,0.12,0.612,64.062,"521Os1SMlxmsoevsqyjNmJ",3,135493,"Changes","Changes","A","minor","A minor"
"14","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.438,0.315,8,-8.186,1,0.0375,0.608,0,0.151,0.449,190.064,"60brXKLTC15vK0av5gIldm",3,170586,"Confirmation","Changes","G#","major","G# major"
"15","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.639,0.437,9,-6.959,1,0.0355,0.692,0,0.12,0.751,147.575,"2hLu8L8SNfCN4yKyPdX0h3",4,165120,"That's What Love Is","Changes","A","major","A major"
"16","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.375,0.304,9,-9.897,1,0.0325,0.683,0,0.196,0.295,83.832,"6VLkgf5YmLixsabdqiCVGU",3,149653,"At Least For Now","Changes","A","major","A major"
"17","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","63iWSELt9V1kV6RSMxN7Ii","2020-02-14",2020,0.655,0.578,9,-5.711,0,0.0534,0.311,0,0.109,0.546,145.869,"2FBpJGt00G0h1q0RHuqaGO",4,209213,"Yummy - Summer Walker Remix","Changes","A","minor","A minor"
"18","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.555,0.518,6,-7.323,0,0.096,0.145,0,0.343,0.577,104.6,"2GCKWEsbb0Xo1oodTOKVi1",4,262840,"Heartbreaker","Journals","F#","minor","F# minor"
"19","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.699,0.505,1,-5.796,1,0.0502,0.00541,0,0.0703,0.142,129.873,"6CLVh9sekZ1p2G8Tfhhj8h",4,191173,"All That Matters","Journals","C#","major","C# major"
"20","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.563,0.609,10,-5.795,0,0.169,0.282,0,0.105,0.491,117.944,"71g1UlX2OtS9axwBIBa5Zm",4,254213,"Hold Tight","Journals","A#","minor","A# minor"
"21","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.668,0.527,6,-5.048,0,0.0813,0.014,0,0.338,0.237,130.264,"6pFqCPdvm6C9IHbJrEu8aG",4,182373,"Recovery","Journals","F#","minor","F# minor"
"22","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.675,0.509,11,-6.839,0,0.0425,0.0215,0,0.221,0.312,81.981,"4VAngYbLewVFpcLR9FpYfR",4,145680,"Bad Day","Journals","B","minor","B minor"
"23","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.696,0.419,9,-8.198,1,0.0256,0.018,8e-04,0.212,0.353,96.482,"3JNEXPTnSxqlxNqhTW61D2",4,182746,"All Bad","Journals","A","major","A major"
"24","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.457,0.494,4,-6.813,0,0.0368,0.837,0,0.434,0.454,123.235,"2GxCTEXhba060skpicYxTk",4,317200,"PYD","Journals","E","minor","E minor"
"25","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.705,0.865,5,-4.076,0,0.0712,0.0136,0,0.179,0.585,97.97,"18ws4dUbhpoGB7Uv7U89yp",4,201613,"Roller Coaster","Journals","F","minor","F minor"
"26","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.304,0.34,6,-9.018,0,0.0879,0.594,0,0.188,0.0777,72.15,"5cn4RhNZPPjt0onhqUMEfa",5,167320,"Change Me","Journals","F#","minor","F# minor"
"27","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","1rknZw4cyL9NInAqSwc8AA","2014-05-13",2014,0.741,0.565,5,-5.448,0,0.108,0.114,0,0.205,0.892,134.129,"3JsydWaf2Ev4ehaLUjj3SY",4,248133,"Confident","Journals","F","minor","F minor"
